IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
47.245.57.38,2087,TRUE,HKG,Asia Pacific,Hong Kong,153,13.68
47.245.4.22,8443,TRUE,HKG,Asia Pacific,Hong Kong,151,16.72
8.209.255.195,2083,TRUE,HKG,Asia Pacific,Hong Kong,137,17.61
8.209.222.232,2053,TRUE,HKG,Asia Pacific,Hong Kong,137,15.43
47.245.4.22,2083,TRUE,HKG,Asia Pacific,Hong Kong,135,15.85
47.245.6.9,2083,TRUE,HKG,Asia Pacific,Hong Kong,135,14.97
47.245.6.9,2053,TRUE,HKG,Asia Pacific,Hong Kong,134,16.35
47.245.6.9,2087,TRUE,HKG,Asia Pacific,Hong Kong,133,18.92
47.245.57.38,2083,TRUE,HKG,Asia Pacific,Hong Kong,133,15.03
47.245.6.9,8443,TRUE,HKG,Asia Pacific,Hong Kong,132,11.72
47.245.6.9,2096,TRUE,HKG,Asia Pacific,Hong Kong,131,16.96
8.209.222.232,2096,TRUE,HKG,Asia Pacific,Hong Kong,131,7.94
8.209.222.232,8443,TRUE,HKG,Asia Pacific,Hong Kong,131,5.66
47.245.4.22,2053,TRUE,HKG,Asia Pacific,Hong Kong,130,14.26
47.245.57.38,8443,TRUE,HKG,Asia Pacific,Hong Kong,128,17.92
47.245.4.22,2087,TRUE,HKG,Asia Pacific,Hong Kong,127,10.5
47.74.8.238,2053,TRUE,NRT,Asia Pacific,Tokyo,103,14.98
8.209.222.31,2096,TRUE,NRT,Asia Pacific,Tokyo,103,9.37
47.245.8.156,2083,TRUE,NRT,Asia Pacific,Tokyo,102,19.51
47.245.34.140,8443,TRUE,NRT,Asia Pacific,Tokyo,100,17.43
8.209.200.73,2096,TRUE,NRT,Asia Pacific,Tokyo,100,15.97
47.245.52.240,2083,TRUE,NRT,Asia Pacific,Tokyo,100,12.58
47.245.55.99,8443,TRUE,NRT,Asia Pacific,Tokyo,99,16.11
47.245.13.93,8443,TRUE,NRT,Asia Pacific,Tokyo,99,15.54
8.209.200.73,8443,TRUE,NRT,Asia Pacific,Tokyo,99,14.81
47.245.26.167,8443,TRUE,NRT,Asia Pacific,Tokyo,96,16.31
47.245.41.169,2087,TRUE,NRT,Asia Pacific,Tokyo,96,6.14
47.245.56.29,2087,TRUE,NRT,Asia Pacific,Tokyo,90,17.04
47.74.22.171,2087,TRUE,NRT,Asia Pacific,Tokyo,85,18.31
47.245.34.140,2083,TRUE,NRT,Asia Pacific,Tokyo,85,13.01
47.74.18.121,2096,TRUE,NRT,Asia Pacific,Tokyo,84,19.47
47.74.7.51,2083,TRUE,NRT,Asia Pacific,Tokyo,83,21.42
8.209.222.31,8443,TRUE,NRT,Asia Pacific,Tokyo,83,18.39
